Designator,Mid X,Mid Y,Rotation,Layer
C1,135.8125,-114.63,90.0,top
C2,135.0325,-117.275,180.0,top
C3,141.6925,-117.1,270.0,top
C4,141.3725,-101.775,0.0,top
C5,146.0525,-108.07,90.0,top
D1,148.2625,-117.485,90.0,top
D2,155.4375,-117.485,270.0,top
D3,151.1625,-117.485,270.0,top
J1,119.9125,-110.0,180.0,top
J2,159.7125,-110.0,270.0,top
J3,141.1825,-113.315,90.0,top
Q1,155.4375,-110.64,90.0,top
Q2,151.1625,-110.64,90.0,top
R1,148.2625,-114.1525,90.0,top
R2,156.3875,-106.2025,90.0,top
R3,155.4375,-114.25,270.0,top
R4,151.1625,-114.25,270.0,top
R5,152.1125,-107.0275,90.0,top
U1,138.6175,-117.275,0.0,top
U2,139.9575,-106.37,180.0,top
